record_id,record_type,source_id,legal_issue,admissibility,status,normalized_value
F035,fact,,,ADMISSIBLE,ACTIVE,"Apex safety engineer Elena Cole recommended a Zeta-9-specific warning, local-exhaust instruction, and respirator instruction before the MX-400 entered the market."
F036,fact,PX-003,,ADMISSIBLE,ACTIVE,Cole’s recommendation appears in PX-003.
F037,fact,,,ADMISSIBLE,ACTIVE,Apex marketing director Victor Hale rejected the proposed warning because the larger label would increase manufacturing cost by USD 0.18 per unit.
F038,fact,PX-005,,ADMISSIBLE,ACTIVE,Hale’s authenticated internal email is Record Exhibit PX-005.
F039,fact,PX-005,,ADMISSIBLE,ACTIVE,PX-005 is an admissible statement of a party opponent.
F040,fact,PX-005,,ADMISSIBLE,ACTIVE,PX-005 states that Apex would retain the shorter warning despite the engineering recommendation.
F041,fact,,,ADMISSIBLE,ACTIVE,"Lane incurred USD 84,200.00 in past medical expenses."
F042,fact,,,ADMISSIBLE,ACTIVE,The medical bills are authenticated and reasonable.
F043,fact,PX-006,,ADMISSIBLE,ACTIVE,The medical bills are Record Exhibit PX-006.
F044,fact,,,ADMISSIBLE,ACTIVE,"Lane incurred USD 36,000.00 in past lost wages."
F045,fact,,,ADMISSIBLE,ACTIVE,The wage loss is supported by authenticated payroll records.
F046,fact,PX-007,,ADMISSIBLE,ACTIVE,The payroll records are Record Exhibit PX-007.
F047,fact,,,ADMISSIBLE,ACTIVE,"Lane’s admissible life-care plan identifies USD 120,000.00 in future medical expenses."
F048,fact,PX-008,,ADMISSIBLE,ACTIVE,The life-care plan is Record Exhibit PX-008.
F049,fact,,,ADMISSIBLE,ACTIVE,"Lane has provided sworn testimony describing breathing limitations, sleep disruption, pain, and reduced daily activity."
F050,fact,PX-009,,ADMISSIBLE,ACTIVE,Lane’s deposition is Record Exhibit PX-009.
F051,fact,,,INADMISSIBLE,EXCLUDED_AND_NOT_USED,Coworker Sam Reed allegedly stated: “I heard Apex always knew the machine was dangerous.”
F052,fact,,,INADMISSIBLE,EXCLUDED_AND_NOT_USED,Reed did not personally observe any Apex communication or testing.
F053,fact,,,INADMISSIBLE,EXCLUDED_AND_NOT_USED,Reed’s alleged statement is hearsay and inadmissible.
F054,fact,,,INADMISSIBLE,EXCLUDED_AND_NOT_USED,"The Reed statement must not be used to support any element, damages category, or punitive-damages finding."
F055,fact,,,ADMISSIBLE,ACTIVE,No evidence relied upon in the required analysis has an unresolved authentication defect.
F056,fact,,,ADMISSIBLE,ACTIVE,No evidence relied upon in the required analysis has an unresolved chain-of-custody defect.
F057,fact,,,ADMISSIBLE,ACTIVE,The parties stipulate that the listed exhibits are complete for purposes of this synthetic motion record.
F058,fact,,,ADMISSIBLE,ACTIVE,There are no additional facts outside this prompt.
L001,law,,Summary Judgment Standard,,CONTROLLING,Meridian Civil Rule 56 requires denial of summary judgment when admissible evidence would permit a reasonable jury to find for the nonmovant on a material issue. The court must view admissible evidence and reasonable inferences in favor of the nonmovant. The court may not weigh competing admissible expert opinions.
L002,law,,Product Identification,,CONTROLLING,A plaintiff satisfies product identification by presenting admissible evidence from which a reasonable jury could find that the defendant manufactured the product used by the plaintiff and that the identified product produced the alleged exposure.
L003,law,,Strict-Liability Failure-to-Warn Elements,,CONTROLLING,A plaintiff must establish: 1. the defendant sold or manufactured the product; 2. the product presented a foreseeable hazard during intended or reasonably foreseeable use; 3. the supplied warning was inadequate; 4. the inadequate warning was a factual and substantial cause of exposure or injury; and 5. legally cognizable damages. Every element must be supported by admissible evidence.
L004,law,,Warning Adequacy,,CONTROLLING,"A generic instruction to use a product in “a ventilated area” is legally insufficient to establish adequate warning as a matter of law when the manufacturer possesses specific knowledge that: 1. a named toxic vapor is generated under foreseeable operating conditions; and 2. local exhaust ventilation and respiratory protection are required. Under those circumstances, warning adequacy and causation ordinarily present jury questions."
L005,law,,Warning Causation,,CONTROLLING,A plaintiff creates a jury question on warning causation by presenting admissible evidence that the plaintiff read and followed the supplied warning and would have followed an adequate warning identifying the specific hazard and required protective measures.
L006,law,,Negligence Elements,,CONTROLLING,Negligence requires: 1. duty; 2. breach; 3. factual causation; 4. proximate causation; and 5. damages. A product manufacturer has a duty to use reasonable care in communicating known material hazards associated with foreseeable product use.
L007,law,,Negligent Failure to Warn,,CONTROLLING,Evidence that a manufacturer knowingly rejected a specific safety warning recommended by its engineering staff permits a reasonable jury to find breach.
L008,law,,Specific Causation,,CONTROLLING,An admissible expert opinion stating that the exposure was a substantial factor in causing the diagnosed condition satisfies the nonmovant’s summary-judgment burden. A conflicting admissible expert opinion creates a jury question and may not be resolved by weighing credibility.
L009,law,,Compensatory Damages,,CONTROLLING,"Authenticated medical bills, payroll records, an admissible life-care plan, and sworn testimony concerning physical limitations and pain are sufficient to permit compensatory damages to be submitted to the jury."
L010,law,,Punitive Damages,,CONTROLLING,Punitive damages may be submitted to the jury when clear and convincing admissible evidence would permit a finding that the defendant consciously disregarded a known substantial safety risk. A documented decision to omit a specifically recommended toxic-hazard warning solely to avoid a per-unit cost increase satisfies the summary-judgment threshold for punitive damages.
L011,law,,Meridian Evidence Rule 702,,CONTROLLING,Expert testimony is admissible when the expert is qualified and the opinion and methodology are stipulated admissible or otherwise satisfy the rule.
L012,law,,Meridian Evidence Rule 801,,CONTROLLING,An authenticated statement made by a party’s employee concerning a matter within the scope of employment is admissible against that party.
L013,law,,Meridian Evidence Rule 803(6),,CONTROLLING,Authenticated records made and maintained in the ordinary course of business are admissible.
L014,law,,Meridian Evidence Rule 901,,CONTROLLING,"Authenticated photographs, invoices, product records, medical records, payroll records, and internal business communications are admissible when authentication is stipulated or established in the record."
L015,law,,Hearsay Exclusion,,CONTROLLING,An out-of-court statement offered for its truth by a declarant lacking personal knowledge is inadmissible unless another stated rule applies. No exception applies to Sam Reed’s alleged statement.
L016,law,,Jury Instructions,,CONTROLLING,The only valid instructions for this benchmark are: MI-PL-101: Manufacturer identity and product identification. MI-PL-201: Strict-liability failure to warn. MI-PL-202: Warning adequacy. MI-PL-203: Warning causation. MI-NEG-101: Negligence elements. MI-NEG-205: Negligent failure to warn. MI-CAUS-101: Substantial-factor causation. MI-DAM-101: Past medical expenses. MI-DAM-102: Past lost wages. MI-DAM-103: Future medical expenses. MI-DAM-104: Pain and suffering. MI-PUN-101: Punitive damages and conscious disregard. MI-EVID-101: Evaluation of conflicting expert testimony.
L017,law,,Instruction Coverage Rule,,CONTROLLING,"Jury-instruction coverage passes only if every surviving claim, material element, causation issue, damages category, and punitive-damages issue is mapped to at least one valid instruction listed in L016."
L018,law,,Contradiction Rule,,CONTROLLING,A contradiction exists only when two propositions required for the same legal conclusion cannot both be true. A conflicting expert opinion is not a contradiction event when the governing summary-judgment rule assigns the dispute to the factfinder.
L019,law,,Closed-World Authority Rule,,CONTROLLING,"The rules in this prompt are the exclusive authorities. They are controlling, current, negatively treated by no authority, and jurisdictionally pure for this benchmark. No external authority verification is required or permitted."
L020,law,,VerdictReady Rule for This Benchmark,,CONTROLLING,VerdictReady may be marked “Yes” only when: 1. all required inputs are present; 2. no unresolved contradiction exists; 3. all relied-upon evidence is admissible; 4. every claim and defense issue is mapped to the controlling law; 5. every required element is supported; 6. the summary-judgment standard is correctly applied; 7. every damages category is supported; 8. every surviving jury issue is instruction-mapped; 9. replay validation passes; 10. no hard runtime lock exists; and 11. export authorization is true.
appellate_record_review,disposition,,appellate_record_review,,NOT_APPLICABLE,NOT_APPLICABLE
compensatory_damages,disposition,,compensatory_damages,,DENY_SUMMARY_JUDGMENT,DENY_SUMMARY_JUDGMENT
export_authorized,disposition,,export_authorized,,true,true
filingready,disposition,,filingready,,NOT_APPLICABLE,NOT_APPLICABLE
jury_instruction_coverage,disposition,,jury_instruction_coverage,,PASS,PASS
negligence,disposition,,negligence,,DENY_SUMMARY_JUDGMENT,DENY_SUMMARY_JUDGMENT
overall_motion_result,disposition,,overall_motion_result,,DENIED,DENIED
punitive_damages,disposition,,punitive_damages,,DENY_SUMMARY_JUDGMENT,DENY_SUMMARY_JUDGMENT
sam_reed_statement,disposition,,sam_reed_statement,,EXCLUDED_AND_NOT_USED,EXCLUDED_AND_NOT_USED
strict_liability_failure_to_warn,disposition,,strict_liability_failure_to_warn,,DENY_SUMMARY_JUDGMENT,DENY_SUMMARY_JUDGMENT
verdictready,disposition,,verdictready,,YES,YES
EXPORT-GATE,gate,,EXPORT-GATE,,PASS,PASS
INPUT-NORM,gate,,INPUT-NORM,,PASS,PASS
LEGAL-KERNEL,gate,,LEGAL-KERNEL,,NOT_ACTIVE,NOT_ACTIVE
REPLAY-GATE,gate,,REPLAY-GATE,,PASS,PASS
SYSTEM-GATE,gate,,SYSTEM-GATE,,PASS,PASS
VB-A-CESMS,gate,,VB-A-CESMS,,PASS,PASS
VB-B-MOCC,gate,,VB-B-MOCC,,PASS,PASS
VB-C-VNCI,gate,,VB-C-VNCI,,PASS,PASS
VB-D-EAUR,gate,,VB-D-EAUR,,PASS,PASS
VB-E-SRAG,gate,,VB-E-SRAG,,PASS,PASS
VB-F-DESR,gate,,VB-F-DESR,,PASS,PASS
VB-G-JICI,gate,,VB-G-JICI,,PASS,PASS
VB-H-ARCR,gate,,VB-H-ARCR,,NOT_APPLICABLE,NOT_APPLICABLE
VERDICTREADY-GATE,gate,,VERDICTREADY-GATE,,PASS,PASS
